NAME,YEAR,Yearly box office in USD$
Albania,2019,42165
Albania,2020,3127
Albania,2021,516
Albania,2022,137953
Argentina,2019,181477176
Argentina,2020,26208706
Argentina,2021,27452269
Argentina,2022,86337658
Aruba,2019,357085
Aruba,2020,196658
Aruba,2021,567
Aruba,2022,1975
Australia,2019,782431322
Australia,2020,257944681
Australia,2021,376228795
Australia,2022,602499220
Austria,2019,78306642
Austria,2020,14236507
Austria,2021,15563542
Austria,2022,36733544
Bahrain,2019,4249137
Bahrain,2020,2606653
Bahrain,2021,29277
Bahrain,2022,94309
Bangladesh,2019,0
Bangladesh,2020,1678
Bangladesh,2021,0
Bangladesh,2022,54566
Belgium,2019,114025487
Belgium,2020,22951443
Belgium,2021,20323335
Belgium,2022,45557394
Bolivia,2019,26215314
Bolivia,2020,2396428
Bolivia,2021,1844711
Bolivia,2022,3389432
Brazil,2019,661271452
Brazil,2020,158155002
Brazil,2021,106405251
Brazil,2022,244913235
Bulgaria,2019,22752281
Bulgaria,2020,4127248
Bulgaria,2021,12213376
Bulgaria,2022,27121313
Cambodia,2019,0
Cambodia,2020,30924
Cambodia,2021,0
Cambodia,2022,66088
Chile,2019,100430669
Chile,2020,9894541
Chile,2021,8081250
Chile,2022,43354537
China,2019,8999073482
China,2020,1710835192
China,2021,6065906999
China,2022,957181467
Colombia,2019,172509279
Colombia,2020,20981229
Colombia,2021,64126251
Colombia,2022,103024644
Costa Rica,2019,879774
Costa Rica,2020,59806
Costa Rica,2021,9525
Costa Rica,2022,76455
Croatia,2019,24426098
Croatia,2020,6808501
Croatia,2021,12539842
Croatia,2022,16790732
Cura?ao,2019,0
Cura?ao,2020,8220
Cura?ao,2021,370
Cura?ao,2022,2926
Cyprus,2019,1075216
Cyprus,2020,225735
Cyprus,2021,71215
Cyprus,2022,406111
Czech Republic,2019,87866883
Czech Republic,2020,35418671
Czech Republic,2021,40495676
Czech Republic,2022,77328402
Denmark,2019,83034981
Denmark,2020,19211675
Denmark,2021,11386371
Denmark,2022,38330298
Dominican Republic,2019,2309224
Dominican Republic,2020,1197684
Dominican Republic,2021,14717
Dominican Republic,2022,62909
Ecuador,2019,18188967
Ecuador,2020,4588378
Ecuador,2021,4805579
Ecuador,2022,6454194
Egypt,2019,9135159
Egypt,2020,3370883
Egypt,2021,2674239
Egypt,2022,1822693
El Salvador,2019,0
El Salvador,2020,1610
El Salvador,2021,9243
El Salvador,2022,33698
Estonia,2019,5671958
Estonia,2020,2064465
Estonia,2021,440175
Estonia,2022,2012156
Ethiopia,2019,0
Ethiopia,2020,6134
Ethiopia,2021,0
Ethiopia,2022,3302
Finland,2019,50209633
Finland,2020,13494061
Finland,2021,8745781
Finland,2022,20765904
France,2019,1441594303
France,2020,391425487
France,2021,648490197
France,2022,988822569
Germany,2019,915469384
Germany,2020,259018733
Germany,2021,325520137
Germany,2022,584481163
Ghana,2019,93514
Ghana,2020,0
Ghana,2021,0
Ghana,2022,0
Greece,2019,38536221
Greece,2020,5769711
Greece,2021,1165977
Greece,2022,4697107
Guatemala,2019,0
Guatemala,2020,0
Guatemala,2021,11485
Guatemala,2022,49772
Honduras,2019,445100
Honduras,2020,8831
Honduras,2021,6665
Honduras,2022,43840
Hong Kong,2019,188286912
Hong Kong,2020,42380997
Hong Kong,2021,134849922
Hong Kong,2022,127307985
Hungary,2019,68182132
Hungary,2020,21944338
Hungary,2021,28148805
Hungary,2022,42950568
Iceland,2019,11259973
Iceland,2020,4319001
Iceland,2021,7597314
Iceland,2022,8359712
India,2019,392237047
India,2020,63008784
India,2021,122734782
India,2022,667258711
Iraq,2019,0
Iraq,2020,24333
Iraq,2021,48439
Iraq,2022,14879
Israel,2019,35064179
Israel,2020,7986925
Israel,2021,6178103
Israel,2022,21211382
Italy,2019,613272349
Italy,2020,154688383
Italy,2021,164103924
Italy,2022,284299028
Jamaica,2019,848424
Jamaica,2020,712015
Jamaica,2021,0
Jamaica,2022,0
Japan,2019,1663451422
Japan,2020,979651368
Japan,2021,896863243
Japan,2022,1121654019
Jordan,2019,1470459
Jordan,2020,933096
Jordan,2021,210994
Jordan,2022,68233
Kenya,2019,788316
Kenya,2020,390651
Kenya,2021,0
Kenya,2022,134481
Kuwait,2019,8915350
Kuwait,2020,4760816
Kuwait,2021,1664431
Kuwait,2022,333935
Laos,2019,0
Laos,2020,3471
Laos,2021,0
Laos,2022,0
Latvia,2019,4399768
Latvia,2020,1003512
Latvia,2021,138900
Latvia,2022,1387625
Lebanon,2019,4660536
Lebanon,2020,1439405
Lebanon,2021,83983
Lebanon,2022,6932635
Lithuania,2019,23267279
Lithuania,2020,8736634
Lithuania,2021,8073697
Lithuania,2022,16569294
Malaysia,2019,126978778
Malaysia,2020,11188674
