Date,Release,,,
2019-01,45,,,
2019-02,51,,,
2019-03,89,,,
2019-04,72,,,
2019-05,83,,,
2019-06,58,,,
2019-07,53,,,
2019-08,81,,,
2019-09,68,,,
2019-10,71,,,
2019-11,76,,,
2019-12,45,,,
2020-01,36,,,
2020-02,58,,,
2020-03,36,,,
2020-04,3,,,
2020-05,6,,,
2020-06,15,,,
2020-07,28,,,
2020-08,23,,,
2020-09,25,,,
2020-10,41,,,
2020-11,35,,,
2020-12,28,,,
2021-01,24,,,
2021-02,29,,,
2021-03,26,,,
2021-04,27,,,
2021-05,36,,,
2021-06,37,,,
2021-07,40,,,
2021-08,33,,,
2021-09,34,,,
2021-10,47,,,
2021-11,37,,,
2021-12,36,,,
