Country,box_office_2020,covid_cases_2020,population_2020 (thouands)
Albania,3127,57146,"2,811.67"
Argentina,26208706,1674319,"45,808.75"
Aruba,196658,5373,106.54
Australia,257944681,28381,25688.08
Austria,14236507,352659,8955.8
Bahrain,2606653,92425,1463.27
Bangladesh,1678,513510,169356.25
Belgium,22951443,646434,11592.95
Bolivia,2396428,156887,12079.47
Brazil,158155002,7563551,214326.22
Bulgaria,4127248,201220,6877.74
Cambodia,30924,366,16589.02
Chile,9894541,605950,19493.18
China,1710835192,96673,1412360
Colombia,20981229,1614822,51516.56
Costa Rica,59806,166799,5153.96
Croatia,6808501,208446,3899
Curacao,8220,4179,152.37
Cyprus,225735,22347,1244.19
Czech Republic,35418671,723581,10505.77
Denmark,19211675,161230,5856.73
Dominican Republic,1197684,169579,11117.87
Ecuador,4588378,211512,17797.74
Egypt,3370883,136644,109262.18
El Salvador,1610,45960,6314.17
Estonia,2064465,28007,1330.93
Ethiopia,6134,123856,120283.03
Finland,13494061,36171,5541.02
France,391425487,2564972,67749.63
Germany,259018733,1734472,83196.08
Greece,5769711,137918,10641.22
Honduras,8831,120912,10278.34
Hungary,21944338,322514,9709.89
Iceland,4319001,5763,372.52
India,63008784,10266674,1407563.84
Iraq,24333,594442,43533.59
Israel,7986925,419659,5033.16
Italy,154688383,2083689,59109.67
Jamaica,712015,12793,2827.7
Japan,979651368,230304,125681.59
Jordan,933096,293067,11148.28
Kenya,390651,96251,53005.61
Kuwait,4760816,150298,4250.11
Laos,3471,41,7425.06
Latvia,1003512,39043,1884.49
Lebanon,1439405,177996,5592.63
Lithuania,8736634,145051,2800.84
Malaysia,11188674,110485,33573.87
Mexico,154036704,1496067,126705.14
Mongolia,264432,1195,3347.78
Netherlands,128547913,785874,17533.04
New Zealand,64642308,1807,5122.6
Nicaragua,11723,4829,6850.54
Nigeria,706551,86576,213401.32
North Macedonia,630,83329,2065.09
Norway,50958090,49784,5408.32
Oman,1241743,128719,4520.47
Pakistan,856171,477240,231402.12
Panama,64773,238279,4351.27
Paraguay,826936,106136,6703.8
Peru,14052447,1010496,33715.47
Philippines,7746699,472523,113880.33
Poland,72011604,1298021,37747.12
Portugal,21274650,386869,10325.15
Qatar,2445349,143621,2688.24
Romania,13925397,627941,19119.88
Russia,251087538,3159297,143449.29
Saudi Arabia,7944158,362601,35950.4
Republic of Serbia,2352719,334991,6834.33
Singapore,9127296,58569,5453.57
Slovakia,13654084,179543,5447.25
Slovenia,2715626,122262,2108.08
South Africa,15044606,1039161,59392.25
South Korea,15044606,60722,51744.88
Spain,115106704,1955216,47415.75
Sri Lanka,13887,43299,22156
Sweden,27206507,437300,10415.81
Switzerland,18795954,451142,8703.41
Thailand,15077489,6884,71601.1
Trinidad and Tobago,1772853,7132,1525.66
Turkey,37670024,2194272,84775.4
Ukraine,31698712,1055047,43792.86
United Arab Emirates,47546679,206092,9365.15
United Kingdom,406389115,2563566,67326.57
United States of America,1902462120,19577585,331893.74
Uruguay,1760900,17962,3426.26
Venezuela,164974,112861,28199.87
Vietnam,60768615,1456,97468.03
Canada,211384680,565504,38246.11
