Country,logbox_office_2020,logcovid_cases_2020,logpopulation_2020 (thouands),box_office_2020,covid_cases_2020,population_2020 (thouands)
Albania,8.047829357,10.95336468,7.941533892,3127,57146,"2,811.67"
Argentina,17.0816022,14.33091707,10.7322304,26208706,1674319,"45,808.75"
Aruba,12.18922146,8.589141691,4.668520501,196658,5373,106.54
Australia,19.36825571,10.25347519,10.15378235,257944681,28381,25688.08
Austria,16.47132014,12.77325686,9.100056646,14236507,352659,8955.8
Bahrain,14.77357758,11.43415278,7.288428936,2606653,92425,1463.27
Bangladesh,7.425357887,13.14902478,12.03975976,1678,513510,169356.25
Belgium,16.94889137,13.37922638,9.358152434,22951443,646434,11592.95
Bolivia,14.68948985,11.96328108,9.399262596,2396428,156887,12079.47
Brazil,18.87908614,15.83885135,12.27525453,158155002,7563551,214326.22
Bulgaria,15.2331214,12.21215412,8.836045389,4127248,201220,6877.74
Cambodia,10.33928786,5.902633333,9.71649631,30924,366,16589.02
Chile,16.10749375,13.31455275,9.87781994,9894541,605950,19493.18
China,21.2602475,11.47908943,14.16077262,1710835192,96673,1412360
Colombia,16.85913874,14.29473529,10.84965859,20981229,1614822,51516.56
Costa Rica,10.99886127,12.02454477,8.54752063,59806,166799,5153.96
Croatia,15.73368254,12.24743529,8.268475389,6808501,208446,3899
Curacao,9.014325488,8.337827262,5.026311773,8220,4179,152.37
Cyprus,12.32711702,10.01444736,7.126239995,225735,22347,1244.19
Czech Republic,17.38274967,13.49196777,9.259679909,35418671,723581,10505.77
Denmark,16.77102873,11.9905872,8.675346706,19211675,161230,5856.73
Dominican Republic,13.99590025,12.04107417,9.316309003,1197684,169579,11117.87
Ecuador,15.33903714,12.26203701,9.786826762,4588378,211512,17797.74
Egypt,15.03068529,11.82513428,11.60150559,3370883,136644,109262.18
El Salvador,7.383989458,10.73552673,8.750551593,1610,45960,6314.17
Estonia,14.54038167,10.24020976,7.193633225,2064465,28007,1330.93
Ethiopia,8.721602345,11.72687488,11.69760283,6134,123856,120283.03
Finland,16.41776022,10.49601297,8.619933878,13494061,36171,5541.02
France,19.78530573,14.75745812,11.12357428,391425487,2564972,67749.63
Germany,19.37241095,14.3662136,11.32895551,259018733,1734472,83196.08
Greece,15.56813255,11.83441458,9.272490418,5769711,137918,10641.22
Honduras,9.086023537,11.70281829,9.237794047,8831,120912,10278.34
Hungary,16.90401971,12.68390183,9.180900233,21944338,322514,9709.89
Iceland,15.27853468,8.659213451,5.920290728,4319001,5763,372.52
India,17.9587847,16.14441367,14.15737099,63008784,10266674,1407563.84
Iraq,10.09958873,13.29537843,10.6812881,24333,594442,43533.59
Israel,15.89331639,12.94719776,8.523803296,7986925,419659,5033.16
Italy,18.85692322,14.54965044,10.98714981,154688383,2083689,59109.67
Jamaica,13.47585426,9.456653425,7.947218939,712015,12793,2827.7
Japan,20.70270732,12.34715545,11.74150692,979651368,230304,125681.59
Jordan,13.74626337,12.58815653,9.319040505,933096,293067,11148.28
Kenya,12.87556986,11.47471464,10.87815304,390651,96251,53005.61
Kuwait,15.37592964,11.92037527,8.354700144,4760816,150298,4250.11
Laos,8.152198016,3.713572067,8.912616044,3471,41,7425.06
Latvia,13.81901641,10.57241888,7.541412506,1003512,39043,1884.49
Lebanon,14.17974039,12.08951636,8.629204939,1439405,177996,5592.63
Lithuania,15.98303555,11.88484068,7.937674651,8736634,145051,2800.84
Malaysia,16.23041257,11.61263504,10.42150336,11188674,110485,33573.87
Mexico,18.85270147,14.21835022,11.74961793,154036704,1496067,126705.14
Mongolia,12.48533941,7.085901464,8.116052719,264432,1195,3347.78
Netherlands,18.67181226,13.57455175,9.77184238,128547913,785874,17533.04
New Zealand,17.98437968,7.499423291,8.541417402,64642308,1807,5122.6
Nicaragua,9.369308003,8.482394686,8.83208276,11723,4829,6850.54
Nigeria,13.46815067,11.36877792,12.2709298,706551,86576,213401.32
North Macedonia,6.445719819,11.33055191,7.632929088,630,83329,2065.09
Norway,17.74651409,10.81544893,8.595693788,50958090,49784,5408.32
Oman,14.0320266,11.76538701,8.41637125,1241743,128719,4520.47
Pakistan,13.6602254,13.07577479,12.35191226,856171,477240,231402.12
Panama,11.07864413,12.38119753,8.378223035,64773,238279,4351.27
Paraguay,13.62548258,11.57247657,8.810429809,826936,106136,6703.8
Peru,16.4583071,13.82595186,10.42571206,14052447,1010496,33715.47
Philippines,15.86277738,13.0658417,11.64290344,7746699,472523,113880.33
Poland,18.09233783,14.07635135,10.53866446,72011604,1298021,37747.12
Portugal,16.87302678,12.86584141,9.242337946,21274650,386869,10325.15
Qatar,14.70969841,11.87493316,7.896641983,2445349,143621,2688.24
Romania,16.44922485,13.35020149,9.85848391,13925397,627941,19119.88
Russia,19.34131219,14.96586009,11.87373687,251087538,3159297,143449.29
Saudi Arabia,15.88794737,12.80105834,10.48989549,7944158,362601,35950.4
Republic of Serbia,14.67108224,12.72185894,8.829713719,2352719,334991,6834.33
Singapore,16.02678004,10.97796083,8.604025719,9127296,58569,5453.57
Slovakia,16.42954923,12.09817001,8.602866173,13654084,179543,5447.25
Slovenia,14.81453306,11.71392156,7.65353286,2715626,122262,2108.08
South Africa,16.52653008,13.85392421,10.99191903,15044606,1039161,59392.25
South Korea,16.52653008,11.01406135,10.85408077,15044606,60722,51744.88
Spain,18.56137012,14.48601123,10.76670973,115106704,1955216,47415.75
Sri Lanka,9.53870843,10.67588482,10.00586362,13887,43299,22156
Sweden,17.11896673,12.98837474,9.251080123,27206507,437300,10415.81
Switzerland,16.74915219,13.01953742,9.071470182,18795954,451142,8703.41
