Date,GRA Purchases,PRGT 1/2/,Totals,Year,total_billion,GDP,GDP_in_billions,Percentage
12/31/2021,89474552025,14554823681,1.04029E+11,2021,104.0293757,8.02551E+14,802551,0.012962338306226%
12/31/2020,93408630285,12481816684,1.0589E+11,2020,105.890447,7.02992E+14,702992,0.015062823901268%
12/31/2019,66945509865,6590835450,73536345315,2019,73.53634532,7.25416E+14,725416,0.010137127568182%
12/31/2018,55395611392,6426181029,61821792421,2018,61.82179242,7.15212E+14,715212,0.008643841605007%
12/31/2017,39585385873,6522280669,46107666542,2017,46.10766654,6.73192E+14,673192,0.006849110883671%
12/31/2016,49267630851,6482647937,55750278788,2016,55.75027879,6.28171E+14,628171,0.008875016323581%
12/31/2015,50757840741,6575911158,57333751899,2015,57.3337519,6.19278E+14,619278,0.009258160616072%
12/31/2014,69041563463,6292755583,75334319046,2014,75.33431905,6.60123E+14,660123,0.011412163952779%
12/31/2013,83899249061,6174392682,90073641743,2013,90.07364174,6.41621E+14,641621,0.014038449760840%
12/31/2012,90042348252,5766292503,95808640755,2012,95.80864076,6.19509E+14,619509,0.015465254057649%
12/31/2011,87276915790,5308609594,92585525384,2011,92.58552538,6.03557E+14,603557,0.015339980379649%
12/31/2010,55620104510,4819344134,60439448644,2010,60.43944864,5.38758E+14,538758,0.011218292561781%
12/31/2009,37221142436,5079705286,42300847722,2009,42.30084772,4.85093E+14,485093,0.008720152160514%
12/31/2008,17514964723,3972372030,21487336753,2008,21.48733675,5.11011E+14,511011,0.004204867752358%
12/31/2007,6036146757,3796945581,9833092338,2007,9.833092338,4.57351E+14,457351,0.002150010022499%
12/31/2006,9822640239,3844020520,13666660759,2006,13.66666076,3.99141E+14,399141,0.003424018269233%
12/31/2005,28432143237,6282121668,34714264905,2005,34.71426491,3.63444E+14,363444,0.009551475580832%
12/31/2004,55373766674,6766029353,62139796027,2004,62.13979603,3.31736E+14,331736,0.018731701120771%
12/31/2003,65032062712,6880893268,71912955980,2003,71.91295598,2.91782E+14,291782,0.024646124839778%
12/31/2002,63601058794,6868671012,70469729806,2002,70.46972981,2.58584E+14,258584,0.027252161699873%
12/31/2001,53477225409,6424578684,59901804093,2001,59.90180409,2.48626E+14,248626,0.024093137519809%
12/31/2000,42990531049,6331595468,49322126517,2000,49.32212652,2.4933E+14,249330,0.019781866008904%
12/31/1999,51061861875,6434274362,57496136237,1999,57.49613624,2.41243E+14,241243,0.023833286868427%
12/31/1998,60451017051,6288825925,66739842976,1998,66.73984298,2.34736E+14,234736,0.028431873670847%
12/31/1997,46559033783,6009867422,52568901205,1997,52.56890121,2.35408E+14,235408,0.022330974822436%
12/31/1996,36127472805,5881609752,42009082557,1996,42.00908256,2.35658E+14,235658,0.017826291727843%
12/31/1995,35929173412,5657438528,41586611940,1995,41.58661194,2.28697E+14,228697,0.018184152804803%
12/31/1994,25611676952,4599768498,30211445450,1994,30.21144545,2.0435E+14,204350,0.014784167090776%
12/31/1993,25196745031,3942792899,29139537930,1993,29.13953793,1.89485E+14,189485,0.015378282148983%
12/31/1992,23967172718,3804463796,27771636514,1992,27.77163651,1.86785E+14,186785,0.014868237015820%
12/31/1991,23378573926,3285717796,26664291722,1991,26.66429172,1.75207E+14,175207,0.015218736534499%
12/31/1990,20731851093,2571911617,23303762710,1990,23.30376271,1.69977E+14,169977,0.013709950587432%
12/31/1989,22315104224,2334886562,24649990786,1989,24.64999079,1.48447E+14,148447,0.016605246849044%
12/31/1988,24750004884,1773964293,26523969177,1988,26.52396918,1.42524E+14,142524,0.018610177359603%
12/31/1987,28751979125,1866342930,30618322055,1987,30.61832206,1.26365E+14,126365,0.024230065334547%
12/31/1986,33334905644,2013169931,35348075575,1986,35.34807558,1.11782E+14,111782,0.031622332379095%
12/31/1985,35194787249,2470247948,37665035197,1985,37.6650352,9.55737E+13,95573.7,0.039409414096137%
12/31/1984,34936772393,2769874900,37706647293,1984,37.70664729,9.14763E+13,91476.3,0.041220127278869%
