Country,# of Netflix Subscribers,box office
Argentina,5069282,27452269
Australia,6405917,376228795
Austria,930017,15563542
Belgium,1643629,20323335
Brazil,18221334,106405251
Bulgaria,172080,12213376
Canada,6670163,448279586
Chile,946242,8081250
Colombia,2731350,64126251
Costa Rica,297777,9525
Croatia,115272,12539842
Cyprus,49338,71215
Czech Republic,456795,40495676
Denmark,920811,11386371
Estonia,52607,440175
Finland,737499,8745781
France,8367985,648490197
Germany,10696426,325520137
Greece,517896,1165977
Hungary,339047,28148805
India,5031713,122734782
Italy,3688379,164103924
Japan,5192000,896863243
Latvia,56859,138900
Lithuania,138416,8073697
Mexico,8346371,328667538
Netherlands,2757700,144186492
New Zealand,1311696,64882342
Norway,1968164,20764264
Poland,1738304,51333275
Portugal,694248,33043679
Romania,465299,22955478
Russia,185396,438062791
Singapore,463617,21445600
Slovak Republic,189950,12873471
Slovenia,92599,3952948
South Africa,349977,18794346
Republic of Korea,4156632,18794346
Spain,4775895,205983912
Sweden,1718057,21918892
Switzerland,1432631,15370857
Turkey,3089928,17323833
United Arab Emirates,427186,149007431
United Kingdom,12752006,711907628
United States of America,67278433,4034516278
Vietnam,328155,46239898
