Ticker,Date,Company,Price
NFLX,2020-01-01,Netflix,330.75
NFLX,2020-01-08,Netflix,338.69
NFLX,2020-01-15,Netflix,338.11
NFLX,2020-01-22,Netflix,348.52
NFLX,2020-01-29,Netflix,369.01
NFLX,2020-02-05,Netflix,373.69
NFLX,2020-02-12,Netflix,387.78
NFLX,2020-02-19,Netflix,360.09
NFLX,2020-02-26,Netflix,368.77
NFLX,2020-03-04,Netflix,364.13
NFLX,2020-03-11,Netflix,319.75
NFLX,2020-03-18,Netflix,357.32
NFLX,2020-03-25,Netflix,375.5
NFLX,2020-04-01,Netflix,372.28
NFLX,2020-04-08,Netflix,413.55
NFLX,2020-04-15,Netflix,433.83
NFLX,2020-04-22,Netflix,403.83
NFLX,2020-04-29,Netflix,424.68
NFLX,2020-05-06,Netflix,431.82
NFLX,2020-05-13,Netflix,451.04
NFLX,2020-05-20,Netflix,414.77
NFLX,2020-05-27,Netflix,427.31
NFLX,2020-06-03,Netflix,434.05
NFLX,2020-06-10,Netflix,436.13
NFLX,2020-06-17,Netflix,466.26
NFLX,2020-06-24,Netflix,455.04
NFLX,2020-07-01,Netflix,493.16
NFLX,2020-07-08,Netflix,524.88
NFLX,2020-07-15,Netflix,490.1
NFLX,2020-07-22,Netflix,488.51
NFLX,2020-07-29,Netflix,509.64
NFLX,2020-08-05,Netflix,466.93
NFLX,2020-08-12,Netflix,491.87
NFLX,2020-08-19,Netflix,490.58
NFLX,2020-08-26,Netflix,556.55
NFLX,2020-09-02,Netflix,507.02
NFLX,2020-09-09,Netflix,495.99
NFLX,2020-09-16,Netflix,491.17
NFLX,2020-09-23,Netflix,493.48
NFLX,2020-09-30,Netflix,505.87
NFLX,2020-10-07,Netflix,554.09
NFLX,2020-10-14,Netflix,525.42
NFLX,2020-10-21,Netflix,488.93
NFLX,2020-10-28,Netflix,487.22
NFLX,2020-11-04,Netflix,480.24
NFLX,2020-11-11,Netflix,480.63
NFLX,2020-11-18,Netflix,482.88
NFLX,2020-11-25,Netflix,504.58
NFLX,2020-12-02,Netflix,512.66
NFLX,2020-12-09,Netflix,519.78
NFLX,2020-12-16,Netflix,527.33
NFLX,2020-12-23,Netflix,530.87
NFLX,2020-12-30,Netflix,520.8
NFLX,2021-01-06,Netflix,494.25
NFLX,2021-01-13,Netflix,501.77
NFLX,2021-01-20,Netflix,561.93
NFLX,2021-01-27,Netflix,548.16
NFLX,2021-02-03,Netflix,559.07
NFLX,2021-02-10,Netflix,557.28
NFLX,2021-02-17,Netflix,546.15
NFLX,2021-02-24,Netflix,547.82
NFLX,2021-03-03,Netflix,506.44
NFLX,2021-03-10,Netflix,524.03
NFLX,2021-03-17,Netflix,535.09
NFLX,2021-03-24,Netflix,513.39
NFLX,2021-03-31,Netflix,544.53
NFLX,2021-04-07,Netflix,553.73
NFLX,2021-04-14,Netflix,549.57
NFLX,2021-04-21,Netflix,505.55
NFLX,2021-04-28,Netflix,503.18
NFLX,2021-05-05,Netflix,495.08
NFLX,2021-05-12,Netflix,486.28
NFLX,2021-05-19,Netflix,501.34
NFLX,2021-05-26,Netflix,499.08
NFLX,2021-06-02,Netflix,492.39
NFLX,2021-06-09,Netflix,491.9
NFLX,2021-06-16,Netflix,508.82
NFLX,2021-06-23,Netflix,533.5
NFLX,2021-06-30,Netflix,541.64
NFLX,2021-07-07,Netflix,540.68
NFLX,2021-07-14,Netflix,531.05
NFLX,2021-07-21,Netflix,518.91
NFLX,2021-07-28,Netflix,510.82
NFLX,2021-08-04,Netflix,515.84
NFLX,2021-08-11,Netflix,518.91
NFLX,2021-08-18,Netflix,553.41
NFLX,2021-08-25,Netflix,569.19
NFLX,2021-09-01,Netflix,606.71
NFLX,2021-09-08,Netflix,577.76
NFLX,2021-09-15,Netflix,573.14
NFLX,2021-09-22,Netflix,583.85
NFLX,2021-09-29,Netflix,634.81
NFLX,2021-10-06,Netflix,624.94
NFLX,2021-10-13,Netflix,639
